c50000,s1,"Room is big, with a large bathroom with shower and bath tub separated",[room][0],[bathroom][0],[shower][0],[bath tub][0],,,,
c50000,s2,The bathroom amenities like shower gel and shampoo are poor in quality,[bathroom amenities][-],[shower gel][-],[shampoo][-],,,,,
c50000,s3,I have uploaded the TV channel list and laundry price list,[TV channel list][0],[laundry price list][0],,,,,,
c50000,s4,The router in the room provides both wired and wifi connection,[router][0],,,,,,,
c50000,s5,Two power outlets at the table and one at bedside,[power outlets][0],[table][0],[bedside][0],,,,,
c50001,s1,All the filipino staves and security personnel from the hotel and in casino are all acting bossy and disrespectful,[filipino staves][-],[security personnel][-],,,,,,
c50001,s2,"security personnel are like waiting for a tip, and if you don't give a tip, they will snob and make face plus laugh behind your back",[security personnel][-],,,,,,,
c50001,s3,Security personnel are making fun of the guests,[Security personnel][-],,,,,,,
c50001,s4,security personnel is not seriously doing their job,[security personnel][-],,,,,,,
c50001,s5,security personnel should be fired and replaced by more competent people,[security personnel][-],,,,,,,
c50001,s6,"security personnel act bossy like they want the guests to adjust for them, really",[security personnel][-],,,,,,,
c50002,s1,Would not suggest staying here at all,,,,,,,,
c50002,s2,"The rooms are below par, the service is missing and there is very little ambience or atmosphere",[rooms][-],[service][-],[ambience][-],[atmosphere][-],,,,
c50002,s3,It is lacking in every element that a Sheraton Grand should portray,,,,,,,,
c50002,s4,Sadly can not recommend this place,,,,,,,,
c50003,s1,"Upon booking, I ordered a non-smoking room, but I was welcomed by a strong smell of cigarette when entering the room",[cigarette][-],,,,,,,
c50003,s2,"We called Room Service, and the staff was indeed very sorry and willing to help",,,,,,,,
c50003,s3,The agent told me that a staff member would bring the keys to the room in a few minutes,,,,,,,,
c50003,s4,"Behold, that's when the drama starts",,,,,,,,
c50003,s5,"It was 11.45 pm when we called room service (it was indeed late by normal standards, however, in Macau, the service was still at full scale, even in late night)",[service][-],,,,,,,
c50003,s7,"We waited for an hour, an whole hour without any staff appearance",[staff][-],,,,,,,
c50003,s8,We called again,,,,,,,,
c50003,s9,"The staff remained very polite and was very sorry for the delay, which was appreciated",,,,,,,,
c50003,s10,"However,  the staff member did not appear in half an hour",[staff][-],,,,,,,
c50003,s11,This was already around 1.20 am,,,,,,,,
c50004,s1,"Very basic stay in Macau, and as a Titanium Elite Member, I expected more than a plate of fruits in my very basic, old feeling room, which deserves some remodeling",,,,,,,,
c50004,s2,"Unfortunately, I wasn't upgraded to a suite as expected whenever there was one available",[upgraded][-],,,,,,,
c50004,s3,That would have made a big difference,,,,,,,,
c50005,s1,"I received an email stating I can check in at Marriott Bonvoy counter but when I wanted to step onto the steps, I was blocked by a Marriott lady staff who was very unfriendly and rude requesting me to show the print out indicating I am a Marriott member",[staff][-],,,,,,,
c50005,s2,I told her that I am a gold member but I didnt print out the check in email or downloads the apps,,,,,,,,
c50005,s3,"However, I asked her to let me in to sit on the sofa first and show her my passport",,,,,,,,
c50005,s4,"the lady staff used her  body to block me to go in, I felt so insulted",[staff][-],,,,,,,
c50005,s5,"My husband just came in and gave her my passport, then she passed the passport to let the reception staff to check",,,,,,,,
c50005,s6,"After checking, our booking was there",,,,,,,,
c50005,s7,The lady staff did not apologize for her rudeness but just walked away,[staff][-],,,,,,,
c50006,s1,"Arrive hotel at 5pm and the queue isn't very long, but the ground staff took me to 4/F club lounge but it takes around 5 mins up and down, once we get out from the lift, original I am at 2nd, other guests jump in front of me and make me into fifth",[ground staff][-],,,,,,,
c50006,s2,"so sad, the staff should arrange it",[staff][-],,,,,,,
c50006,s3,"In fact, I don't feel it is faster with only 2 staffs there and feel inexperience",[staffs][-],,,,,,,
c50006,s4,"Finally, I can check in and the lady told me they only have double room, but what I booked is a twin room, also she said all non smoking rooms are unavailable or still tidy up, OMG",,,,,,,,
c50006,s5,"is 5pm, I suppose everything are ready",,,,,,,,
c50006,s6,what's a poor front desk service I never have in Sheraton group,[front desk service][-],,,,,,,
c50006,s7,"At the end, I can get a room I booked, but it's a bit non professional staff process my booking ",[staff][-],,,,,,,
c50007,s1,I was stayed at here on 21/12 until 23/12,,,,,,,,
c50007,s2,"I booked a Deluxe twin room(2547,Earth Tower) through Agoda",,,,,,,,
c50007,s3,The hotel is crowded because there are so many people,[crowded][-],,,,,,,
c50007,s6,"Room in Earth Tower was outdated,Sky Tower could be their newer tower",[Room][-],[Earth Tower][-],,,,,,
c50007,s7,Room are fairly clean but little old,[Room][-],,,,,,,
c50007,s8,Cannot control the speed of shower in the bathroom,[shower][-],[bathroom][0[,,,,,,
c50007,s9,They also have free shuttle buses to airport and ferry terminal,,,,,,,,
c50007,s10,"Lastly,NEED TO IMPROVE MORE ON CLEANINESS IN THE CASINO TOILET",[CLEANINESS][-],[CASINO TOILET][-],,,,,,
c50007,s11,The casino toilet was very dirty,[casino toilet][-],,,,,,,
c50008,s1,"It's fine if you like gambling, I guess",,,,,,,,
c50008,s2,And shopping though the prices are twice as high for brand names than anywhere else,[prices][-],,,,,,,
c50008,s3,The rooms are large and comfortable the rest of the hotel is like being on a crowded city street,[rooms][+],[rest of the hotel][-],,,,,,
c50008,s4,No quiet lounge or coffee shop or bar,[lounge][-],[coffee shop][-],[bar][-],,,,,
c50008,s5,They were waxing the floor in the lobby at 1 am when people are still out and about and the one coffee shop bar in the middle of the crowded lobby was already closed,,,,,,,,
c50009,s2,Room condition was poor,[Room condition][-],,,,,,,
c50009,s3,Middle of the night room heater stopped working,[room heater][-],,,,,,,
c50009,s4,I had to change room with small kid,,,,,,,,
c50009,s5,Even after talking to the manager I was not compensated for the trouble,[manager][-] ,,,,,,,
c50010,s1,As an Elite Bonvoy member I was really hoping to leave a more positive review,,,,,,,,
c50010,s2,"Our trip was mixed, at best",,,,,,,,
c50010,s3,"The rooms are quite nice and comfortable, although the hotel itself is very disjointed",,,,,,,,
c50010,s4,Service is far off what a normal Macau experience is,[Service][-],,,,,,,
c50010,s5,Our check-in was very unpleasant,[check-in][-],,,,,,,
c50010,s6,We were invited as Bonvoy members to check in online prior to arriving,,,,,,,,
c50010,s8,you need to go through the entire check in process all over again when you arrive,,,,,,,,
c50010,s9,"Check in took a long time, as our attendant was working through the system",,,,,,,,
c50010,s10,"The staff are quite pleasant and do try their best to deliver good service, but the system and the poor Organisation of the hotel work against their efforts",[system][-],[poor Organisation][-],,,,,,
c50010,s11,The lobby and elevators all smell of cigarette smoke,[lobby][-],[elevators][-],[cigarette smoke][-],,,,,
c50011,s3,No choice but to tolerate light smoke smell,[smoke smell][-],,,,,,,
c50011,s4,Normal facilities and good size of room,[facilities][0],[size of room][+],,,,,,
c50011,s5,Avoid 2~3 pm n 5~6 pm for check in or out as many tours wld arrive n created long waiting time,[check in][-],,,,,,,
c50012,s2,She take us out from a very long check in line thats why we managed our trip very well having a very fast check in,,,,,,,,
c50012,s3,She also introduce the facilities that makes us feel welcome __,,,,,,,,
c50013,s1,Unacceptable service,[service][-],,,,,,,
c50013,s2,I was disappointed by this hotel because I checked out at 7:30am,[checked out][-],,,,,,,
c50013,s3,Obviously I left my glasses already and no one from hotel gave me one single call for the whole day,,,,,,,,
c50013,s7,"And if any of their staff had tried to call me, I might not need to go through all these email sending, phone call waiting",,,,,,,,
c50013,s8,I discovered I left my glasses when I arrived Hong Kong home,,,,,,,,
c50013,s9,My friends will check out tomorrow so I asked them to call the reception to see if they found any glasses,,,,,,,,
c50013,s10,The receptionist replied them immediately saying no lost items was found,,,,,,,,
c50013,s11,"So I called the reception myself at 8:30pm, they said they would check for me, and they called back saying_",,,,,,,,
c50014,s1,Bit hard to find entrance to main lobby,[entrance to main lobby][-],,,,,,,
c50014,s2,Main lobby looks promising and Check in took a while due to scanner issue,[Check in][-],[scanner][-],,,,,,
