"I celebrate my anniversary with my boyfriend in Conrad, I was totally surprised by the service provided by them, the bell boy Dylan and Regan very proactive and helpful. The FO Dayo also provide detail and friendly introduction of the room and facilities and thanks for his upgrade and the cake.  My package included a 60 Minutes spa service and we pay extra $200 to extend to 90 min, both therapist are very professional.",50
"All the staying experience is great, and the location is good to reach many spots. The service and food is good and the staff is very warm to welcome the customers.  Lovely golden ""Conrad bears"" makes the trip even memorable.",50
"The staff was exceptional treating us the best way possible, at all times. The suite we stayed in was phenomenal, making you want to stay inside as long as possible! We loved that at the Lounge the breakfast was up until a bit later (11.30) giving us time to go to the gym and still enjoy great food! Even being GLuten Free intolerant, they brought me GF bread and were very helpful! At the pool, great quick service and staff very caring!",50
"It's our third summer to to spend time at Conrad Macao before school starts for kids.  The facelift of the Sands Cotai Central for the upcoming Londoner hotel has temporarily suspended some of the facilities that Conrad has to offer, including the pool and in room dining.  However, there are reasons to come back the third year in a row, even with these temporary disadvantages for the property -- services count!  We were upgraded to a sweet queen deluxe suite as a diamond.  It's the same great team at the executive lounge, Ivan, Frand and Sarah, to name a few familiar faces.  Although the current reconstruction project has made it a little bit disadvantaged in location and availability of amenities, we are still very very happy with our recent 2-night stay.    Check-in in the evening was swift, the front-desk team was kind enough to include a few coloring kits for my children as a welcome gift, these little gifts proved to be handy at dinner later to keep them busy before meals arrived.   Our room was pre-arranged with all we asked for before arrival --- a firmer pillow, kids' bathrobes, slippers.  The extra bottles of water were answered almost immediately after a phone call.    We received complimentary access to the St Regis pool while the Conrad pool was closed for reconstruction, another good gesture to make up for the temporary disadvantage.  Breakfast was served at the Executive Lounge which recently came back to business.  A la carte, instead of buffet style, the breakfast offering had everything we needed, and quality was excellent!  Ivan and Sarah kept us entertained while we waited for our food and before we left, the kids got a big surprise with the cute bear and signature duckling toy.   Ivan and Sarah answered every need during our breakfast, offering attentive service and most important of all, with a warm feeling of being old friends.  There are names that I forgot, everyone at the Conrad Macao team I met this time has been excellent.  We look forward to our fourth visit soon!…",50
"This room was truly awesome and I was upgraded to it as a Gold member! Huge living room, media room, and a ridiculously large bathroom. Highly recommended!  The hotel itself is located in the Cotai Sands Complex which is a complex of three hotels (Holiday Inn, Sheraton, Conrad) that share a common casino/shopping mall/eateries. The complex was recently completed in 2012 and is located directly across the street from the Venetian and the City of Dreams.  The Conrad provides a free shuttle bus from the Taipa Ferry Terminal. I took the Cotai Water Jet Ferry from Hong Kong to Macau which was a pleasant trip. At the ferry terminal there was a staff member from the Conrad holding a sign that said ""Conrad."" I identified myself to the staff member and she walked me to the shuttle bus. The shuttle bus would not have been easy to find without the help of the Conrad staff member.  It's pretty easy to get to the old town of Macau via a taxi from the Conrad. Taxi's were about $10 to the Historic Centre, and were readily available at the lobby entrance of the Conrad. For those that are extremely cheap, there is also a free shuttle bus that runs to the Historic Centre from the City of Dreams hotel complex next door.…",50
"This hotel won't fail on giving you nothing but excellence!  Stayed under one of their offered promotion and it was such an amazing experience. I have to say, it's my second visit but the expectation is still beyond.  This time it was for my nephew's birthday. I would like to express my big ""THANK YOU"" to the Head of Front Office-Elvis for kindly arranging everything for our stay, from the provided information needed with package clarification and most of all the flexibility on pool access at the St. Regis.   We were greeted by Ada and Elvis upon arrival with a little welcome birthday gift for my nephew. They were very professional and kind with processing the check in until we were escorted to our room.  To our spa experience I highly recommend to try, we were welcomed by…",50
"Thank you Conrad Macau! My friends and I met an awesome team of Front Office, specially thanks to Troy on his warm and professional services. We had a wonderful stay in the upgrade deluxe suite with gorgeous view of COTAI Strip. We also enjoyed the spa and delicious food in dining outlets. The most remarkable restaurant was Crystal Jade, best Xiao Long Baos in town! Thanks to all team members of Conrad Macau to make our visit so special. Definitely we will visit you again soon!  Cristina S.",50
"Just returned with my 20th visit to Conrad Macau, my second home in Asia, for my  birthday celebration.  The full professional team of the hotel greeted and treated me with warmth and happiness.  Most grateful to Head of guests relation, Yumi, Conrad Club Lounge family's Ivan, Freu, Tyra, Sunshine, Sara, Fenny, Acken, Ryan...................you guys really make my birthday stay filled with great Joy and nice surprise !!!!!!!!!!! and I really felt like to be treated like a QUEEN.    Superb !  The team is always caring, thoughtful and helpful.  Every tiny details were served with massive passion and efforts.  If you wanna to be staying in a money for value and hugely comfortable hotel in Macau and to be greatly indulged by its spacious & wonderful room with views, highly…",50
"Had again a PERFECT visit to this wonderful hotel! Like I have written in my previous reviews, this hotel is something that most hotels are just dreaming of achieving: the hotel itself is lovely, the swimming pool area is beautiful, the suites are gorgeous and, what is most important, the service here is top-notch!!!  I want to express my great, big thanks to all members of the executive lounge; Ivan, Emman and Frand from the guest relations, head waiters Tyra, Tina and Sarah, waiter Ryan etc. Also, a huge thanks to wonderful head of front office, Mr Elvis!  You guys are such amazing individuals, all of you! And it feels just like coming home when I get there to Conrad Macau. From the bottom of my heart: thank you so much!!! Can't wait to get back there soon! Actually, I already…",50
We were there for business trip a year back and was taken care of very well.  first we were give an upgrade for a suite. 2 bed room suite with a living room the size of a mansion.  we loved every minute of it and didn't want to go down stair.  To top that off. They gave us a comp time for our Martinis for the party of 4 of us.  very impressed with them and caused myself to switch from Marriott to Hilton in 2020.,50
