c25000000,s1,So far our worst hotel experience
c25000000,s2,"My wife have been to very embarrassing and humiliating discriminatory selection process every time we need to go through the casino, and going through the casino is the best way from the main lobby to our elevators to access our room, so it’s pretty much every day and a few times a day the same thing"
c25000000,s3,"If you are black, south asian and young, avoid this hotel"
c25000000,s4,The hotel itself is up to the Venetian standards
c25000001,s1,They cancelled my reservation because we arrived late
c25000001,s2,We stuck in traffic and had busy travel schedule
c25000001,s3,But why did they cancel my reservation when they had plenty of rooms available? They gave me a room but charged me a higher rate
c25000001,s4,But what was worse was a reeking “100% non-smoking room” with stale smoke! And we had toddler and elder
c25000001,s5,"After some wait, we got another room which they seemed to spray it with febreze"
c25000001,s6,"Next day, the room could still clearly smelled of smoke"
c25000001,s7,Was it from before but covered by febreze or due to the air filtering system? And the bedroom TV wasn’t working
c25000001,s8,Anyway awful 2- night stay!  Later I couldn’t check out on TV and called twice for a bill
c25000001,s9,The staff seemed to try hard to satisfy the guest
c25000001,s10,But the hotel management seemed to focus on pleasing…
c25000002,s1,This is my first night at Venetian
c25000002,s2,The hotel is place and spacious
c25000002,s3,"However, the service of the employees are terrible and money-seeking"
c25000002,s4,"We asked for additional room key temporarily due to the nature of our work on business trip, but they were not understanding and continued to require extra absurd payments"
c25000002,s5,The way they explained was not only rude but clearly money-seeking
c25000002,s6,Would not recommend due to poor service
c25000003,s1,"I like the hotel appearance, it is grand, beautiful and worth to visit"
c25000003,s2,"But with the rude staff, I am wonder how can they get the title of 5 stars ? Spending few thousands here with such services, I rather not staying here"
c25000003,s3,"There are several nice hotels nearby with good altitude, recommend you guys to go there"
c25000004,s1,Very very loud construction noise right on top of our room
c25000004,s2,I have an 11 month old baby who suffered badly because this
c25000004,s3,I begged them to stop the noise for only 2 hours while the baby is asleep and they refused
c25000004,s4,Why do you even accept guests in this room that is like a war zone??? Why do you charge me for this hell hole??? If you have construction planned for so many days you should NOT give the adjacent or nearby rooms to guests! I should NOT be paying for a room that traumatises my 11 month old baby
c25000004,s5,Other problems: staff do not speak English
c25000004,s6,Inconvenient elevators
c25000004,s7,All public hallways smell like cigarette smoke which made me nauseous
c25000004,s8,Terrible mattress for baby crib
c25000004,s9,And so on
c25000004,s10,Please for the sake of your health and sanity AVOID THIS HOTEL
c25000005,s1,We stayed here one night before a conference and it was the most expensive room of the trip; granted it was huge (70 sq m) 'cos there were 3 of us
c25000005,s2,"But, the whole place was completely overwhelming"
c25000005,s3,"Imagine a giant mall, plonked on top of 4 separate casinos, topped off with a conference centre and several 1000 rooms"
c25000005,s4,"Oh, and there is a facsimilie of Venice interwoven with it all, complete with bridges and gondolas"
c25000005,s5,The whole place has massive corridors and 1000s of people (many being locals coming just to see the place as a tourist venue in itself)
c25000005,s6,We hated it (will never visit Vegas either)
c25000005,s7,Restaurants were very pricey (like poor ones charging  a lot) and obviously the designer   shops are too
c25000005,s8,You practically needed a bus to get to your room from reception
c25000005,s9,we…
c25000006,s1,"This is definitely one of the worse experience that I ever had so far in  my life !  The hotel is massive! It have 3700 rooms and because of the big shopping mall under it , it’s alway in a height occupancy !  When we arrived the lobby was like a train station! Almost the 1000 people queueing for check in and check out and only 20 front office staff !!  It took us a very long time for check in !  After they give the key to us they give us a map and asked us take the escalator and go the 3rd floor which one the biggest shopping mall in Macau located their and find North east entrance! The shopping mall is very huge and very busy , we couldn’t find the entrance if we accidentally didn’t met a Filipino staff !  The room is average nothing like a Macau 5 diamond ! The worse part…"
c25000007,s1,"Too many chain smoking mainland  tourists taking over the hotel complex, pick pockets, just too far to walk around to and from the rooms unless walk through the noisy smokey unsafe Casino, so loud noisy 24/7 and personal safety is quite unsettling as full of gamblers lurking near shoppers"
c25000008,s1,"Room was amazing, big, spacious and newly renovated"
c25000008,s2,All was great except one thing
c25000008,s3,"One guy from FRONT OFFICE, Mr"
c25000008,s4,Kenneth he’s attitude towards us is not good
c25000008,s5,"Also check in time should be 3pm, we arrive at the hotel almost 5pm"
c25000008,s6,He ask us to wait for more than 1 hour
