c80000,s1,This is (without a doubt) one of the best hotels in Macau,,,,,
c80000,s2,The architecture is really impressive and no details were left aside,[architecture][+],,,,
c80000,s3,The halls in the room levels makes it feel like you are permanently in a luxury spa and the housekeeping staff are very helpful,[halls in the room][+],[housekeeping staff][+],,,
c80000,s4,I stayed in the signature pool room and I can only tell you it was one of the best hotel experiences I've ever had,[pool room][+],,,,
c80000,s5,"The living room is huge, enough to receive guests for dinner",[living room][+],,,,
c80000,s6,"Also, the room and the bathroom are very big, all with luxury facilities",[room][+],[bathroom][+],[facilities][+],,
c80000,s8,"After arriving this wonderland I could only imagine a great buffet with lots of variety, different kinds of cheese, waffles, etc - but that was not the case",[buffet][+],,,,
c80000,s9,"Lastly, I must say banyan tree has one of the most impressive spas I've ever seen",[spas][+],,,,
c80001,s2,"The room was elegant, the service was great as well",[room][+],[service][+],,,
c80001,s3,The best part of our experience was when we went to the resort deck and in the Cabana,[experience][+],,,,
c80001,s4,We really had fun and the staff was so accommodating especially Omar who assisted us as if we are VIP,[staff][+],,,,
c80003,s3,Thank you for the amazing service and experience,[service][+],[experience][+],,,
c80003,s4,The staff are very friendly and helpful,[staff][+],,,,
c80004,s1,I stayed here for my birthday in Jun 2019 and the staff was nice and friendly and the beds were nice and comfy and clean and the bathroom had great water pressure,[staff][+],[beds][+],[bathroom][+],,
c80005,s2,"The staff were very friendly and proactive fulfilling guest needs, one person that I have to mention is the front office guy Michael who did the check in and check out",[staff][+],[check in][+],[check out][+],,
c80005,s3,"the staff was super friendly, welcoming and knowledgeable",[staff][+],,,,
c80005,s4,"my wife and me were very impressed with his services and professionalism Additionally, the hotel provided us a free room upgrade with nice birthday deco, champagne and a cake",[services][+],[room upgrade][+],,,
c80006,s1,"The Front office Miguel was so polite and very professional, Very kind and the Manager as well",[Front office][+],[Manager][+],,,
c80006,s3,All the room attendants are very well trained,[room attendants][+],,,,
c80006,s6,"Shout out to Sherman, Ms Sasa, Mark For your good service ______",,,,,
c80007,s3,Fast and excellent service of food,[service][+],[food][+],,,
c80007,s4,The room we stayed was nice and cozy,[room][+],,,,
c80007,s5,Our baby also enjoyed the pool,[pool][+],,,,
c80008,s4,"The pool and tho whole setup is beautiful, comfortable and very relaxing",[pool][+],,,,
c80008,s5,"The staff was very friendly and helpful, made us feel right at home The food was good too",[staff][+],[food][+],,,
c80009,s3,The services rendered by the team was exceptional and second to none,[services][+],,,,
c80009,s5,The foods served were sumptious and appetizing,[foods][+],,,,
c80010,s2,Very good service from Omar and the Manager is also very friendly,[service][+],,,,
c80011,s1,"Its my second time at banyan tree cabana chill out, still highly recommended resort deck around macau, never fail to satisfy my  experience",,,,,
c80011,s2,Thanks to marcus and omar for wonderful service,[service][+],,,,
c80012,s3,The food was good and the service was exceptional,[food][+],[service][+],,,
c80012,s4,"Staff is super nice and friendly, especially the manager Marcos who is very professional and he gave us many useful recommendations",[Staff][+],[manager][+],,,
c80013,s2,The pool was really clear and the foods were good,[pool][+],[foods][+],,,
c80013,s3,The service was exceptional,[service][+],,,,
c80014,s6,"I don't know how they do it, but staff will always address you by your name without any need for prompting The beds were seriously comfy, and the room size is really something that you rarely find elsewhere",[staff][+],[beds][+],[room size][+],,
c80014,s7,"The heated pool in the room added such a luxurious touch, and was great to come home to each night It was really relaxing to sink in and take in the views of the changing Macau landscape",[pool in the room][+],[views][+],,,
c80015,s5,Also can enjoy the environment with the therapist,[therapist][+],,,,
c80016,s3,The location is good and the service is excellent,[location][+],[service][+],,,
c80017,s1,"Good memory! We have stayed at Banyan Tree Macau in January,  Victor from concierge who taken care of me and my mom was superb,  he was  very helpful , kind & make us feel like home and take care of us like he did from his heart",[concierge][+],,,,
c80017,s2,And everyone from bellman team is very nice,[bellman][+],,,,
c80017,s3,"The front team are doing a good job while we were waiting to check in and check out, they don't want us wait for long",[front team][+],,,,
c80017,s5,"The location is very convenient close to the airport with free shuttle bus service , the pool suite is very fantastic",[location][+],[shuttle][0],[pool suite][+],,
c80018,s1,"We stay in banyan tree in 2706 & 2708,room was well maintain and clean",[room][+],,,,
c80018,s2,Housekeeping who clean my room was superb,[Housekeeping][+],[room][0],,,
c80018,s3,the staff are very helpful and kind,[staff][+],,,,
c80018,s6,thank u banyan tree Macau and housekeeping team,[housekeeping][+],,,,
c80019,s1,"House keeper Delfin,Gerardo and Sam, kindly thanks all staffs, as I was studied hospitality major , strongly recommend guys to stay this hotel",[House keeper][+],[staffs][+],,,
c80020,s1,"Good service, nice hotel, nice view",[service][+],[view][+],,,
c80020,s2,"Especially for the housekeeping Team - Reyjan, ZhangXin, Ellah  who is a very nice and kind person",[housekeeping Team][+],,,,
c80021,s2,"very nice Room comes with a mini swimming pool, nice bath tub",[Room][+],[swimming pool][+],[bath tub][+],,
c80021,s3,Special thanks to our housekeeper Zhou Hanqun who looked after us during our stays :),[housekeeper][+],,,,
c80022,s1,"Was satisfied with literally Beautiful interior, nice furniture, warm greeting and service",[interior][+],[furniture][+],[greeting][+],[service][+],
c80022,s2,"Specially, the house cleaning service was perfect also (Thank you Michael) Must come back again in the future",[house cleaning service][+],,,,
c80023,s3,"It was pure perfection, from the very spacious and relaxing room, to very friendly and well equipped staff",[room][+],[staff][+],,,
c80023,s4,Shout out to reyjan (room service guy) for always looking after our needs and assisting us,[room service guy][+],,,,
c80024,s1,"I really appreciate how the room smells, how it looks, and the amenities are the best And I am very grateful with the staff Rona and Yi for accommodating us during our stay for making our room neat and comfortable",[room smells][+],[amenities][+],[staff][+],[room][+],
