c4500000,s1,"First time to Grand Hyatt to celebrate my birthday, but the entire experience doesn't match my expectation"
c4500000,s2,"Good things to mention: -A male staff/porter at lobby is very proactive, he direct us to the elevator when we were confused about direction"
c4500000,s3,-Room is big enough for 2 person with a dining table and sofa
c4500000,s4,"-We are coming for birthday celebration, the staffs arrange a small birthday cake during turn-down"
c4500000,s5,Few things I also want to mention: -No one escort to room and no introduction to any facilities
c4500000,s6,We have to find out by ourselves which is not convenience at all and takes times
c4500000,s7,"-When I ask the schedule about house of dancing water show at concierge, a lady in concierge just want to pass me to the counter of the show center without patient"
c4500000,s8,-I booked 2 days book the key…
c4500001,s1,They overcharged me upon check out
c4500001,s2,"With a final folio showing 10,400 Macau dollars for five nights - what they posted as a final charge to American Express was 13,000 Macau dollars"
c4500001,s3,Unbelievable and unacceptable
c4500001,s4,Their accounting people are utterly careless and incompetent
c4500001,s5,"I am not talking about the authorized hold - I am talking about what ended up on my Amex account as ""posted"" charge"
c4500002,s1,The entire experience was fine
c4500002,s2,"However, I’m just a bit disappointed to the HSKP here"
c4500002,s3,I was in rush to take a shower before departure and I just figured out that there was no Bath Gel in my room
c4500002,s4,"Instead, I got TWO body lotions (one in the shower and the other next to the sink)"
c4500002,s5,"Anw, if you are reading this, please check ur bath gel when u get into the room!!"
c4500003,s1,No warm welcome
c4500003,s2,Check-in was slow
c4500003,s3,"Despite the multiple counter tables, there's only one in operation with three or four check-in staff working"
c4500003,s4,"Each receptionist took their own sweet time handling the guests, without noticing the line that was building up"
c4500003,s5,"After a while, we realized there's a separate counter for World of Hyatt"
c4500003,s6,"We stood behind the counter for quite a while, it was not manned, nobody came and approach us for assistance"
c4500003,s7,We were attended only when we told one of the staff that we are a member
c4500003,s8,The treatment suddenly changed drastically from being rather ignorant to super attentive
c4500003,s9,"Though the guest room need serious upgrading work, it was in clean good condition and bed was comfortable"
c4500003,s10,F&B service needs serious improvement
c4500003,s11,Table given to us during…
c4500004,s1,The hotel is at the far end of COD but still quite convenient moving around by foot
c4500004,s2,We had a suite and the room is big and spacious
c4500004,s3,All basic facilities are there but the hotel is a bit aged lacking some updated basics such as USB plugs and air con in our room was very noisy
c4500004,s4,But all in all it good value for money and upkeeping with the service you expect from a Grand Hyatt
c4500005,s1,It ticks all the boxes of a 5-star property
c4500005,s2,But that is it
c4500005,s3,The staff are professional
c4500005,s4,Will answer all your queries
c4500005,s5,But no warmth
c4500005,s6,A note to housekeeping to make up the room in the afternoon was not followed up with
c4500005,s7,A return to the hotel at 3:30pm to find the room still not made up
c4500005,s8,A call to reception to just replenish water and shower gel was was obliged verbally
c4500005,s9,"But after a 30-min wait, there’s still no water and shower gel"
c4500005,s10,Went to the lobby to buy a piece of chocolate
c4500005,s11,"However, the lady attended to us seemed to hate her job"
c4500005,s12,every question was met with a long face
c4500005,s13,"I had to tell her how much it cost after tax, rather than the other way round"
c4500005,s14,"However, we dined at the beijing kitchen"
c4500005,s15,"Peking duck was one of the best and Vicki, the restaurant manager was perfect in…"
c4500006,s1,Stayed for two nights
c4500006,s2,Paid extra Amount to upgrade the room and breakfast at club lounge
c4500006,s3,Club lounge was in another tower and has to change the lift at level 3
c4500006,s4,"Got to level 3, staffs here do not know the direction unable to give us a proper guidance"
c4500006,s5,"A chef was asking Host at mezza 9 to assist, host replied ask the guest to come here and ask"
c4500006,s6,Wow~
c4500006,s7,nice service
c4500006,s8,"Room cutleries have stains, bath tub looks dirty with stains"
c4500006,s9,Breakfast at lounge was disappointing
c4500006,s10,Little selection
c4500006,s11,A short hair wearing suit lady looks stern and rough when clearing our soiled on table
c4500006,s12,Chef at egg station was not approachable at all and reply was unwilling
c4500006,s13,Never again for the price I paid!
c4500007,s1,I was on a trip with my cousin's family to Macau during the new year of 2019
c4500007,s2,My cousin booked 3 non-smoking rooms with the Grand Club access for 5D4N
c4500007,s3,We were really excited and looking forward to a high standard of service and quality as it is a 5 star hotel with many good reviews
c4500007,s4,"However, it was a slightly disappointing experience with this hotel"
c4500007,s5,The check in process was rather slow even though there weren’t many guests
c4500007,s6,"Also, the receptionist failed to tell us to go up to the 37th floor to check in in the beginning"
c4500007,s7,The lobby was elegant but it is a bit odd to find there was no seating area for guests to relax
c4500007,s8,The major issue of this hotel is the cigarette smoke smell in their non-smoking rooms
c4500007,s9,My room reeked of cigarette smoke
