c6500000,s1,For the past few years my husband and I have been staying at the Wynn Palace Hotel at least 3 or 4 times a year and usually for about a week or so
c6500000,s2,Usually the staff were very helpful and friendly but this time we encountered a very rude and unhelpful bellboy!   Back in January we stayed a total of 10 days and we also got friends to stay there for a few days too
c6500000,s3,While my husband was checking out my friends and I were standing to the side of a doorway with our luguages not blocking anyone
c6500000,s4,When my husband came out we got ready to push our 6 luggages out to the front entrance
c6500000,s5,A bellboy walked over and told us in Mandarin to move aside with our luggages
c6500000,s6,I told him back in Cantonese that we are moving out to the front entrance as we have checked out
c6500000,s7,Instead of doing his job of…
c6500001,s1,Last year was really pleasant and all the staff were kind but disappointing
c6500001,s2,I don't think it's being managed well
c6500001,s3,And The smell of flowers in the lobby seems to have weakened
c6500001,s4,Our room smell was so strange
c6500001,s5,"I asked for a non-smoking room, but I got a cigarette from the bedhead recognition air conditioner"
c6500002,s1,"Hotel room are really badly designed, looks luxurious at first look, but really designed by someone who lacks taste"
c6500002,s2,Its nothing compared to Wynn in Las Vegas
c6500002,s3,"Staff was average, restaurants really average as well"
c6500003,s1,Great expectations can lead to great disappointments
c6500003,s2,"It may be because of Chinese New Year's Day, but there are too many people"
c6500003,s3,"It was a nonsmoking room, but the smell of cigarettes in the room was very unpleasant"
c6500004,s1,"Although the decoration is too golden for my liking, it matches the casino theme"
c6500004,s2,Staff are friendly and helpful
c6500004,s3,The room is spacious and full of mirrors and the location is good
c6500004,s4,I guess I have nothing to complain
c6500005,s1,This is a Forbes Standard hotel but some area might need to improve
c6500005,s2,"Experience: - Using Expedia VIP Access to enjoy the privilege, but unfortunately did not treated as a entitled guest - Front Desk was unsure my entitlement, checked-in process was take more than 15 minutes - Request early check in, but when approached to front desk only been informed have to wait for 3 1/2 hour for room to ready"
c6500005,s3,- The most TERRIBLE incident is get to informed luggage assistant for check out which after step in to room for 30mins! - Housekeeping been sent wrong item for twice
c6500005,s4,Pros: - Hotel provided Cotai connection shuttle which can explore other hotel within Cotai area and also shuttle to different location which is really convenient  - Breakfast served at Fontana is awesome! - Spa in…
c6500006,s1,We stayed for three nights
c6500006,s2,This hotel is not good if you are bringing kids
c6500006,s3,The problem is not really about the hotel staff or the infrastructure
c6500006,s4,There are just too many mainland Chinese people running around the hotel
c6500006,s5,They are not nice and friendly
c6500006,s6,"For example, we used our room card to get into the express queue for the cable car service"
c6500006,s7,A mainland Chinese lady was originally in the normal queue
c6500006,s8,"She came over to my queue and said that they know us and ""join"" us (i"
c6500006,s9,e
c6500006,s10,jumping the queue)
c6500006,s11,"Another example: In the middle of the day, two other Mainland Chinese tourists were wandering in the lift lobby"
c6500006,s12,"When we entered the lift, they followed us"
c6500006,s13,We used our room card to go to my floor
c6500006,s14,They requested us to use my room card again so that they could get to the floor they…
c6500007,s1,"Wynn Palace is a grand and elegant Casino hotel, the primary colours are gold, off white, yellow, orange and shade of purple"
c6500007,s2,"Open more than a year ago I was told, everything, carpet, lightings, is rich and beautiful"
c6500007,s3,"I would have given it a perfect score if not for the staff, its not their attitude but communication and soft skills is a problem in Wynn Palace, you wonder if enough or correct training is being done? I check in at 1am, reception told me I do not have a reservation, she passed it to her colleague, took sometime before he says, oh, its under a different name, he look at my passport and the reception computer, Ok, now its my fault"
c6500007,s4,"The suite we book is nice, big but bare, my recommendation is, save the money and book a normal room, in Macau, one hardly spend time in…"
c6500008,s1,the resort it was very nice
c6500008,s2,room clean and big
c6500008,s3,design and finishing very accurate
c6500008,s4,service ok
c6500008,s5,not bad not wow!
c6500008,s6,just standard!!! the line in the morning to be seated for breakfast took me over 20' and the swimming pool it was close because under maintenance: that's very disappointing because it was a reason of my choice while booking and nobody informed about the disservice!!!
c6500009,s1,I do not speak English
c6500009,s2,"When communication became uncomfortable, the employees were in a bad mood"
c6500009,s3,I would not recommend this hotel for those who can not speak English and Chinese
c6500009,s4,"When we could not communicate, the staff kept us waiting and was doing sns"
c6500009,s5,"The room condition was better than the Galaxy Hotel, but the service was a mess  I wanted to extend the day but I was denied that the room reservation was full"
c6500009,s6,"But I was able to extend the room for free at the casino, but I was in a bad mood"
c6500010,s1,"It was said that it was daytime only during the day, but there was no advance notice and the child was uncomfortable to take a nap"
c6500010,s2,"Again, it was an experience"
c6500010,s3,"However, the employees ' feelings and cleanliness were very impressive and happy"
c6500011,s1,"Everything was fine, but"
c6500011,s2,I felt a little sorry for my poor breakfast
c6500011,s3,breakfast
c6500011,s4,was no steak & ice cream
c6500011,s5,But the fruit juice tasted good
c6500011,s6,"Bread tasted good, but I couldn't eat it beacuse morning"
c6500011,s7,and I didn't catch the sky cap
c6500011,s8,See you next time
c6500012,s1,Same as its Name
c6500012,s2,PALACE!! Expect everything Grand n Spacious
c6500012,s3,"Hardware, really Great!! Software"
c6500012,s4,Can be better
c6500012,s5,2 things we really Appreciate most were Unlimited rides of cable car n 2 Huge TV inside room
c6500012,s6,Other than that
c6500012,s7,Everything was just fine
c6500013,s1,"there was someone tried to enter the room in the early morning, luckily i locked the door when i slept, he/she could not enter the room, in room dining service is good, but the dry fried beef river taste was bad"
c6500014,s1,"Improvement at higher level,on this other side I have not feel any problems in the lower level, such as house keeping,room service"
c6500014,s2,"reception, reseveration even the luggage delivery etc"
c6500014,s3,"all seem to be quite on duty, that is want idea and feel during my stay"
c6500015,s1,"As of this writing, my companion's luggage has not been delivered to his room nor has it been found"
c6500015,s2,The last time we saw it was at the bell-service trolley
c6500015,s3,Hey the staff is very respectful but not all are efficient
c6500015,s4,"While we hope the guy doesn't lose his job, we hope that the luggage is found"
c6500015,s5,"It's more of the hotel system: the hotel is full of touchbutton technology and all, but i wonder about security cameras which should be able to trace the whereabouts of luggage deliveries"
c6500016,s1,We came to celebrate friend's anniversary and I would like to express my feelings from pre-	arrival arrangement to staying experience
c6500016,s2,Pre-arrival
c6500016,s3,1
c6500016,s4,I book two rooms (a package with guarantee upgrade to suite room and cable car tickets) online and requested for connecting room
c6500016,s5,I found the rate was double than my Oct reservation with the same deal
c6500016,s6,I called to reservation and they of course can't do anything
c6500016,s7,Not even bother my question
c6500016,s8,I explained that I visit Macau every month and each time I stay in suite in other hotel
c6500016,s9,Last month I got a much better offer and I also found a good rate on travel agent
c6500016,s10,They said they didnt cooperate with that travel agent and just ended my question
c6500016,s11,2
c6500016,s12,I called to Concierge to help a few arrangement to my friend's room
c6500016,s13,They…
c6500017,s1,"Since hotel is new, rooms are clean and nice"
c6500017,s2,"There are a lot of shops but location is not accessible, hence there is little shoppers"
c6500017,s3,There is cable car ride at the hotel entrance which is interesting
c6500018,s1,I stayed at the Wynn Palace recently for one night as part of a 5 day trip to Hong Kong
c6500018,s2,I have been to Vegas and perhaps unfairly expected a similar experience
c6500018,s3,"The room at the Wynn was exceptional, perhaps the best hotel room I have ever stayed in, certainly the largest television!   The casino was less impressive, mainly higher stakes games; probably fair enough given their target clientele but nowhere near the diversity of choice available in Vegas"
c6500018,s4,Drinks service at the tables was very slow bordering on the non-existent; as amateur gamblers we expected a drinkie or two!   The casino is surrounded by shops and amazingly there is only one bar! I think one of the restaurants had a bar within but only one dedicated place to get a drink! Very odd
